name,homepage,count1,count2,count3,count4,booktitle,interv,aggr
Nick Roussopoulos,http://www.cs.umd.edu/users/nick/,0,0,6,0,SIGMOD Conference,1.2029774,
Nick Roussopoulos,Unknown Homepage,0,0,6,0,SIGMOD Conference,1.2029774,
Nick Roussopoulos,Unknown Homepage,0,0,6,0,Unknown Booktitle,1.2029774,
Unknown Name,http://www.cs.umd.edu/users/nick/,0,0,6,0,SIGMOD Conference,1.2029774,
Nick Roussopoulos,http://www.cs.umd.edu/users/nick/,0,0,6,0,Unknown Booktitle,1.2029774,
Unknown Name,http://www.cs.umd.edu/users/nick/,0,0,6,0,Unknown Booktitle,1.2029774,
Shivnath Babu,http://www.cs.duke.edu/~shivnath/,0,0,5,0,SIGMOD Conference,1.1881258,
Shivnath Babu,Unknown Homepage,0,0,5,0,Unknown Booktitle,1.1881258,
Unknown Name,http://www.cs.duke.edu/~shivnath/,0,0,5,0,SIGMOD Conference,1.1881258,
Shivnath Babu,http://www.cs.duke.edu/~shivnath/,0,0,5,0,Unknown Booktitle,1.1881258,
